"Table S1: Strains included in the study and where they can be accessed
Columns: 
'Strain': species and strain name; 
'Included in comparative genomics analysis': Indicates whether the strain was included in the comparative genomic analysis (See Methods), 
'Biosample Accession (sequenced for this study)': NCBI Accessionnumber of strains sequenced for this study, short reads acquired on the Ilumina MiSeq platform as well as long reads acquired on the PacBio Sequel platform can be accessed here; 
'Genebank Accessionnumber ': NCBI Accessionnumber of the genome assemblies, sequenced for this study; 
'PacBio reads available (sequenced for this study)':Indicated whether this strain was sequenced on a PacBio Sequel platform in the course of this study;
'Genebank Accessionnumber  (previously available)': NCBI accessionnumber of publicly available assemblies included in this study
'SRA Accessionnumber  (previously available)': NCBI accessionnumber of publicly reads assemblies included in this study ",,,,,,,
Strain,Included in comperative genomics analysis,Biosample Accession (sequenced for this study),Genebank Accessionnumber ,PacBio reads available (sequenced for this study),Genebank Accessionnumber (previously available),SRA accessionnumer (previously available),
Klebsiella_pneumoniae_608276-17,TRUE,SAMN12212230,VNRS00000000, ,,,
Klebsiella_pneumoniae_608420-17,TRUE,SAMN12212232,VNRU00000000, ,,,
Klebsiella_pneumoniae_608740-17,TRUE,SAMN12212236,VNRY00000000, ,,,
Klebsiella_pneumoniae_608935-17,TRUE,SAMN12212239,VNSB00000000, ,,,
Klebsiella_pneumoniae_612634-16,TRUE,SAMN12212242,VNSE00000000, ,,,
Klebsiella_pneumoniae_700505-17,TRUE,SAMN12212249,VNWJ00000000, ,,,
Klebsiella_pneumoniae_700521-17,TRUE,SAMN12212250,VNTK00000000,Yes,,,
Klebsiella_pneumoniae_700607-17,TRUE,SAMN12212254,VNTO00000000, ,,,
Klebsiella_pneumoniae_700678-17,TRUE,SAMN12212255,VNTP00000000, ,,,
Klebsiella_pneumoniae_704984-11,TRUE,SAMN12212261,VNTV00000000, ,,,
Klebsiella_pneumoniae_705023-2-17,TRUE,SAMN12212263,VNTX00000000, ,,,
Klebsiella_pneumoniae_713220-4-17,FALSE,SAMN12212290,VNUY00000000, ,,,
Klebsiella_pneumoniae_800121-13,FALSE,SAMN12212297,VNVH00000000, ,,,
Klebsiella_pneumoniae_801079-17,FALSE,SAMN12212300,VNVK00000000, ,,,
Klebsiella_pneumoniae_801080-17,TRUE,SAMN12212301,VNVL00000000, ,,,
Klebsiella_pneumoniae_801403-17,FALSE,SAMN12212302,VNVM00000000, ,,,
Klebsiella_pneumoniae_801722-1-17,TRUE,SAMN12212303,VNVN00000000, ,,,
Klebsiella_pneumoniae_801752-1-17,FALSE,SAMN12212304,VNVO00000000, ,,,
Klebsiella_pneumoniae_801869-6-17,TRUE,SAMN12212305,VNVP00000000, ,,,
Klebsiella_pneumoniae_803653-17,FALSE,SAMN12212306,VNVQ00000000, ,,,
Klebsiella_pneumoniae_803710-16,FALSE,SAMN12212307,VNVR00000000, ,,,
Klebsiella_pneumoniae_804135-14,FALSE,SAMN12212308,VNVS00000000, ,,,
Klebsiella_pneumoniae_804562-15,FALSE,SAMN12212309,VNVU00000000, ,,,
Klebsiella_pneumoniae_805100-17,FALSE,SAMN12212311,VNVW00000000, ,,,
Klebsiella_pneumoniae_806823-15,FALSE,SAMN12212312,VNVZ00000000, ,,,
Klebsiella_pneumoniae_808927-4-16,FALSE,SAMN12212315,VNWC00000000, ,,,
Klebsiella_pneumoniae_808934-11-16,FALSE,SAMN12212316,VNWD00000000, ,,,
Klebsiella_pneumoniae_DSM-30104,FALSE,SAMN12212319,VNWG00000000,Yes,,,
Klebsiella_quasipneumoniae-subsp-quasipneumoniae_131515-17,TRUE,SAMN12212114,VNNG00000000, ,,,
Klebsiella_quasipneumoniae-subsp-quasipneumoniae_403774-16,TRUE,SAMN12212190,VNQE00000000, ,,,
Klebsiella_quasipneumoniae-subsp-quasipneumoniae_404431-16,TRUE,SAMN12212197,VNQL00000000, ,,,
Klebsiella_quasipneumoniae-subsp-similipneumoniae_700573-16,FALSE,SAMN12212253,VNTN00000000, ,,,
Klebsiella_quasipneumoniae-subsp-quasipneumoniae_DSM-28211,FALSE,SAMN12212318,VNWF00000000,Yes,,,
Klebsiella_variicola_101332-17,TRUE,SAMN12212092,VNMK00000000, ,,,
Klebsiella_variicola_105668-17,FALSE,SAMN12212093,VNML00000000, ,,,
Klebsiella_variicola_105710-17,TRUE,SAMN12212094,VNMM00000000, ,,,
Klebsiella_variicola_133832-17,TRUE,SAMN12212118,VNNK00000000, ,,,
Klebsiella_variicola_304471-16,TRUE,SAMN12212133,VNNZ00000000, ,,,
Klebsiella_variicola_403773-16,TRUE,SAMN12212189,VNQD00000000, ,,,
Klebsiella_variicola_404813-6-17,TRUE,SAMN12212201,VNQP00000000, ,,,
Klebsiella_variicola_502642-17,TRUE,SAMN12212212,VNRA00000000, ,,,
Klebsiella_variicola_600085-17,TRUE,SAMN12212219,VNRH00000000, ,,,
Klebsiella_variicola_605161-17,FALSE,SAMN12212223,VNRL00000000, ,,,
Klebsiella_variicola_608870-17,TRUE,SAMN12212238,VNSA00000000, ,,,
Klebsiella_variicola_612524-16,FALSE,SAMN12212241,VNSD00000000, ,,,
Klebsiella_variicola_700538-17,TRUE,SAMN12212251,VNTL00000000, ,,,
