replicate	number_of_strains	number_of_orthologous_cluster	sd
pneumonia_group_Core	265	398.74	268.131296942
pneumonia_group_Pan	265	42125.15	530.279386267
pneumonia_group_Core	266	397.5	266.92435258
pneumonia_group_Pan	266	42186.8	530.051884253
pneumonia_group_Core	267	396.18	266.009375023
pneumonia_group_Pan	267	42246.09	524.517284653
pneumonia_group_Core	268	389.73	263.279541742
pneumonia_group_Pan	268	42300.67	524.858896371
pneumonia_group_Core	269	388.75	262.434653771
pneumonia_group_Pan	269	42356.75	520.963403225
pneumonia_group_Core	270	387.84	261.798766995
pneumonia_group_Pan	270	42410.45	516.163004777
pneumonia_group_Core	271	387.16	261.195241917
pneumonia_group_Pan	271	42456.54	512.834659905
pneumonia_group_Core	272	386.37	260.670698583
pneumonia_group_Pan	272	42511.56	507.344189284
pneumonia_group_Core	273	384.95	259.414586136
pneumonia_group_Pan	273	42564.7	506.829034291
pneumonia_group_Core	274	372.47	253.571033638
pneumonia_group_Pan	274	42622.56	498.5174685
pneumonia_group_Core	275	365.96	250.02747529
pneumonia_group_Pan	275	42682.18	492.289698856
pneumonia_group_Core	276	364.83	249.41062748
pneumonia_group_Pan	276	42740.67	501.294944219
pneumonia_group_Core	277	363.93	249.11315722
pneumonia_group_Pan	277	42798.07	512.533242922
pneumonia_group_Core	278	357.61	245.889320427
pneumonia_group_Pan	278	42856.54	509.658442881
pneumonia_group_Core	279	356.61	245.350846544
pneumonia_group_Pan	279	42909.54	511.779843683
pneumonia_group_Core	280	351.19	243.812251333
pneumonia_group_Pan	280	42977.28	503.78023145
pneumonia_group_Core	281	344.41	240.334562433
pneumonia_group_Pan	281	43024.25	509.70910086
pneumonia_group_Core	282	339.02	238.170148423
pneumonia_group_Pan	282	43072.55	513.701087696
pneumonia_group_Core	283	337.1	235.442668181
pneumonia_group_Pan	283	43138.47	513.831790667
pneumonia_group_Core	284	335.46	233.359140382
pneumonia_group_Pan	284	43195.56	515.560283963
pneumonia_group_Core	285	334.96	233.070157678
pneumonia_group_Pan	285	43248.32	522.801527924
pneumonia_group_Core	286	334.13	232.466843012
pneumonia_group_Pan	286	43302.23	514.113078126
